Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
Parada , ./data/Jabali/k2/60_2_0.95_1_1.svrp , 690.878 , 679.802 , 1.60314 , 0.068 , 6.651 , 2 , 682.616 , 8.26242 , 8.26242 , 9.78389 , 690.878 , 690.878 , 0 , 991 , 594 , 0.541875 , 0 , 0 , 212 , 1.5096 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.95_1_1.svrp , 690.878 , 679.883 , 1.59142 , 0.713 , 8.482 , 2 , 682.616 , 8.26242 , 8.26242 , 9.78389 , 690.878 , 690.878 , 0 , 981 , 599 , 0.580989 , 0 , 0 , 271 , 1.62015 , 80 , 0.239003 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_1.svrp , 690.878 , 680.624 , 1.48424 , 0.707 , 5.171 , 2 , 682.616 , 8.26242 , 8.26242 , 9.78389 , 690.878 , 690.878 , 0 , 828 , 527 , 0.437346 , 0 , 0 , 212 , 1.27227 , 80 , 0.23943 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.95_1_2.svrp , 654.266 , 643.547 , 1.63835 , 0.028 , 3.113 , 2 , 642.717 , 11.5489 , 11.5489 , 12.5608 , 654.266 , 654.266 , 0 , 945 , 265 , 0.241754 , 0 , 0 , 167 , 1.39037 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.95_1_2.svrp , 654.266 , 646.242 , 1.22639 , 0.124 , 1.336 , 2 , 642.717 , 11.5489 , 11.5489 , 12.5608 , 654.266 , 654.266 , 0 , 417 , 159 , 0.121324 , 0 , 0 , 86 , 0.667483 , 12 , 0.030499 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_2.svrp , 654.266 , 646.242 , 1.22639 , 0.118 , 1.318 , 2 , 642.717 , 11.5489 , 11.5489 , 12.5608 , 654.266 , 654.266 , 0 , 417 , 159 , 0.118661 , 0 , 0 , 86 , 0.664961 , 12 , 0.029112 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.95_1_3.svrp , 679.569 , 672.355 , 1.06164 , 0.105 , 1.014 , 2 , 666.623 , 12.9463 , 12.9463 , 14.5439 , 679.569 , 679.569 , 0 , 310 , 178 , 0.111325 , 0 , 0 , 55 , 0.507547 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.95_1_3.svrp , 679.569 , 672.932 , 0.976648 , 0.903 , 1.478 , 2 , 666.623 , 12.9463 , 12.9463 , 14.5439 , 679.569 , 679.569 , 0 , 141 , 145 , 0.112079 , 0 , 0 , 29 , 0.254936 , 106 , 0.383534 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_3.svrp , 679.569 , 675.261 , 0.634004 , 0.916 , 3.151 , 2 , 666.623 , 12.9463 , 12.9463 , 14.5439 , 679.569 , 679.569 , 0 , 477 , 364 , 0.289035 , 0 , 0 , 59 , 0.720809 , 106 , 0.385345 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.95_1_4.svrp , 713.223 , 694.617 , 2.60873 , 0.024 , 66.641 , 2 , 700.197 , 13.0265 , 13.0265 , 13.9836 , 713.223 , 713.223 , 0 , 8263 , 1667 , 5.88345 , 0 , 0 , 931 , 11.1541 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.95_1_4.svrp , 713.223 , 694.644 , 2.60498 , 0.223 , 37.279 , 2 , 700.197 , 13.0265 , 13.0265 , 13.9836 , 713.223 , 713.223 , 0 , 4369 , 1337 , 2.41022 , 0 , 0 , 652 , 6.37354 , 22 , 0.10622 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_4.svrp , 713.223 , 694.875 , 2.57266 , 0.276 , 59.208 , 2 , 700.197 , 13.0265 , 13.0265 , 13.9836 , 713.223 , 713.223 , 0 , 7160 , 1466 , 4.37724 , 0 , 0 , 827 , 10.6451 , 22 , 0.13072 , 0 , 0 , 1
